Runny nose,cough,sore throat,fever,bodyache,Fatigue,abdominal pain,diarrhea,nausea/vomit,head pain,light sensitivity,itch,skin rash,blood pressure,difficulty in breathing,difficulty in sleeping,Disease,REMEDY
2,2,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Common Cold,"Rest, drink fluids, and take over-the-counter cold medications."
2,2,2,3,2,1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,Influenza,"Rest, drink fluids, and take antiviral medications if prescribed by a doctor."
-1,-1,-1,-1,-1,1,3,3,3,-1,-1,-1,-1,-1,-1,-1,Gastrointestinal Disorders,"Avoid spicy and greasy foods, eat bland foods like bananas, rice, applesauce, and toast (BRAT diet), drink plenty of fluids, consider over-the-counter medications for diarrhea and nausea (consult a doctor for severe symptoms)."
-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,-1,-1,-1,-1,2,headache,"Take over-the-counter pain relievers like acetaminophen or ibuprofen, apply a cold compress to the forehead, rest in a quiet, dark room, practice relaxation techniques such as deep breathing or meditation."
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,-1,2,-1,Allergies,"Avoid allergens, take antihistamines, use nasal sprays as recommended, consider allergy shots (immunotherapy) for severe allergies."
-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,Asthma,"Use inhalers as prescribed (rescue inhalers for acute symptoms and controller inhalers for long-term management), avoid triggers such as smoke, dust, and pollen, seek medical help during asthma attacks."
-1,-1,-1,2,-1,-1,2,2,2,-1,-1,-1,-1,-1,-1,-1,Food Poisoning,"Stay hydrated by drinking clear fluids, avoid solid foods until vomiting and diarrhea have stopped, gradually reintroduce bland foods, avoid dairy, caffeine, alcohol, and fatty foods, consult a doctor if symptoms worsen or persist."
-1,-1,-1,-1,-1,2,-1,-1,1,3,3,-1,-1,-1,-1,1,Migraine,"Rest in a quiet, dark room, apply a cold or warm compress to the head or neck, take over-the-counter pain relievers like acetaminophen or ibuprofen, consider prescription medications (triptans, ergots) if recommended by a doctor, identify and avoid migraine triggers."
-1,-1,-1,-1,-1,1,-1,-1,2,3,2,-1,-1,3,1,-1,Hypertension,"Follow a healthy diet (DASH diet), exercise regularly, maintain a healthy weight, limit alcohol consumption, quit smoking, reduce stress, take prescribed medications as directed by a doctor."
3,3,-1,3,3,3,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,Pneumonia,"Take prescribed antibiotics as directed by a doctor, get plenty of rest, stay hydrated, use over-the-counter medications for fever and pain (if recommended by a doctor), follow up with a doctor for monitoring and further treatment."
-1,-1,2,3,3,2,-1,-1,2,3,-1,2,3,-1,-1,-1,Chickenpox,"Get plenty of rest, keep skin clean and dry, use calamine lotion or antihistamines to relieve itching, take over-the-counter pain relievers for fever and discomfort, avoid scratching blisters to prevent infection, consult a doctor if symptoms worsen or new symptoms develop."
